[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.037924s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.048554s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002080s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002196s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.035958s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036065s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.001121s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.031059s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001004s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001241s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.034668s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001247s ]
[ 2012-12-14T09:07:23+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001331s ]
[ 2012-12-14T09:08:05+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-14T09:08:05+08:00 ] /myUpLoad/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000636s ]
[ 2012-12-14T09:08:05+08:00 ] /myUpLoad/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2012-12-14T09:08:05+08:00 ] /myUpLoad/index.php | INFO: Tag[ view_template ] --START--
